paper_name,simplerenv_widowx_bridge_success_rate,simplerenv_widowx_bridge_prev_sota_success_rate,delta_simplerenv_widowx_bridge_success_rate,P_A,Delta_necessary,Delta_sufficient,delta_bin
Vlaser: Vision-Language-Action Model with Synergistic Embodied Reasoning,65.1,54.9,0.10199999999999998,0.5520833333333334,0.03125,0.15625,possibly_significant
VOTE: Vision-Language-Action Optimization with Trajectory Ensemble Voting,58.3,51.3,0.06999999999999995,0.5104166666666666,0.03125,0.15625,possibly_significant
X-VLA: Soft-Prompted Transformer as Scalable Cross-Embodiment Vision-Language-Action Model,95.8,71.9,0.23899999999999988,0.71875,0.03125,0.11458333333333333,certainly_significant
CogACT: A Foundational Vision-Language-Action Model for Synergizing Cognition and Action in Robotic Manipulation,51.3,26.7,0.246,0.2708333333333333,0.03125,0.14583333333333334,certainly_significant
Latent Action Pretraining from Videos,57.3,51.0,0.06299999999999994,0.5104166666666666,0.03125,0.15625,possibly_significant
PIVOT-R: Primitive-Driven Waypoint-Aware World Model for Robotic Manipulation,39.3,29.5,0.09799999999999998,0.2916666666666667,0.03125,0.14583333333333334,possibly_significant
Scaling Robot Policy Learning via Zero-Shot Labeling with Foundation Models,2.8,4.2,-0.014000000000000005,0.041666666666666664,0.03125,0.07291666666666667,negative
What matters in building vision–language–action models for generalist robots,50.0,29.5,0.20500000000000002,0.2916666666666667,0.03125,0.14583333333333334,certainly_significant
OA-WAM: Object-Addressable World Action Model for Robust Robot Manipulation,79.3,76.0,0.03299999999999992,0.7604166666666666,0.03125,0.10416666666666667,possibly_significant
OFlow: Injecting Object-Aware Temporal Flow Matching for Robust Robotic Manipulation,67.1,59.8,0.07299999999999995,0.59375,0.03125,0.14583333333333334,possibly_significant
PRTS: A Primitive Reasoning and Tasking System via Contrastive Representations,77.1,61.9,0.1519999999999999,0.6145833333333334,0.03125,0.13541666666666666,certainly_significant
ReFineVLA: Multimodal Reasoning-Aware Generalist Robotic Policies via Teacher-Guided Fine-Tuning,47.7,42.7,0.04999999999999999,0.4270833333333333,0.03125,0.17708333333333334,possibly_significant
RLDX-1 Technical Report,71.9,62.0,0.09900000000000009,0.625,0.03125,0.13541666666666666,possibly_significant
ST4VLA: Spatially Guided Training for Vision-Language-Action Models,73.2,61.9,0.11299999999999999,0.6145833333333334,0.03125,0.13541666666666666,possibly_significant
InternVLA-M1: A Spatially Guided Vision-Language-Action Framework for Generalist Robot Policy,71.7,61.9,0.09800000000000009,0.6145833333333334,0.03125,0.13541666666666666,possibly_significant
Steering Vision-Language-Action Models as Anti-Exploration: A Test-Time Scaling Approach,55.5,48.0,0.07500000000000007,0.4791666666666667,0.03125,0.16666666666666666,possibly_significant
GRAPE: Generalizing Robot Policy via Preference Alignment,45.5,32.0,0.135,0.3229166666666667,0.03125,0.15625,possibly_significant
DA-PTQ: Drift-Aware Post-Training Quantization for Efficient Vision-Language-Action Models,48.9,51.3,-0.02400000000000002,0.5104166666666666,0.03125,0.15625,negative
Green-VLA: Staged Vision-Language-Action Model for Generalist Robots,80.5,73.2,0.07300000000000006,0.7291666666666666,0.03125,0.11458333333333333,possibly_significant
Split Decisions: VLM-Guided Action Sampling for Efficient RL Exploration,55.0,27.5,0.275,0.2708333333333333,0.03125,0.14583333333333334,certainly_significant
"OmniSAT: Compact Action Token, Faster Auto Regression",55.2,42.7,0.125,0.4270833333333333,0.03125,0.17708333333333334,possibly_significant
RoboInter: A Holistic Intermediate Representation Suite Towards Robotic Manipulation,50.0,55.2,-0.052000000000000046,0.5520833333333334,0.03125,0.15625,negative
